booking_id,booking_datetime,checkin_date,lead_time_days,stay_nights,num_rooms,num_adults,num_children,customer_age,loyalty_points,avg_daily_rate,discount_pct,distance_to_airport_km,competitor_rate,marketing_score,seasonal_index,market_segment,channel,room_type,meal_plan,customer_tier,country_code,weekend_flag,target_class,target_value
117731,56:36.0,12/17/2024,186,3,3,4,0,36,869.6,153.14,30,11.69,154.631,0.135,0.75,Other,Direct,Presidential,BB,Silver,BR,No,Cancelled,753.66
31086,11:51.9,5/14/2024,162,8,1,1,1,22,70.8,185.85,0,5.02,194.98,0.181,1.0,Other,Corporate,Economy,HB,Bronze,GB,No,Completed,1437.24
44821,41:29.9,6/19/2025,307,2,1,2,1,52,764.5,159.75,30,12.38,175.91,0.249,1.2,Business,Direct,Executive,HB,Silver,CN,No,Completed,269.79
134341,32:17.2,4/28/2024,174,5,1,1,0,44,1877.0,92.59,5,3.88,88.87,0.588,0.9,Business,OTA,Economy,BB,Platinum,IE,Yes,NoShow,394.34
111487,02:37.2,11/19/2023,237,3,1,2,0,18,178.5,152.2,0,3.14,164.22,0.456,0.8,Corporate,OTA,Economy,BB,Bronze,TR,Yes,NoShow,378.95
145913,46:51.0,10/10/2023,246,3,1,2,0,37,2945.3,164.67,10,3.48,162.5,0.579,0.95,Corporate,OTA,Executive,BB,Bronze,CN,No,NoShow,423.53
129155,10:59.9,2/16/2025,95,4,1,1,1,40,284.2,112.02,20,9.08,118.63,0.198,0.75,Group,Corporate,Economy,HB,Bronze,DK,Yes,Cancelled,275.81
134330,46:22.1,9/18/2025,327,3,2,3,1,41,681.7,113.56,20,3.39,110.59,0.524,1.05,Business,Direct,Studio,HB,Bronze,GB,No,Cancelled,530.27
109314,31:12.6,2/14/2025,233,7,1,2,1,35,546.0,147.07,0,5.41,135.37,0.113,0.75,Business,OTA,Studio,BB,Silver,KR,Yes,NoShow,725.35
21018,01:31.7,4/27/2023,33,3,1,1,1,61,319.1,65.93,10,8.0,66.87,0.214,0.9,Group,OTA,Family,BB,Bronze,ZA,No,Cancelled,178.14
